Extension (m),Force (N)
-5.5471914e-06,-1.3226475e-08
-5.5469764e-06,-1.3223909e-08
-5.5467617e-06,-1.3220159e-08
-5.5465484e-06,-1.3219114e-08
-5.5463374e-06,-1.3220637e-08
-5.546129e-06,-1.32205775e-08
-5.545923e-06,-1.3217578e-08
-5.5457203e-06,-1.3214516e-08
-5.5455193e-06,-1.3215881e-08
-5.54532e-06,-1.3220779e-08
-5.545123e-06,-1.3225387e-08
-5.5449273e-06,-1.322623e-08
-5.5447335e-06,-1.32229605e-08
-5.5445407e-06,-1.3220129e-08
-5.5443493e-06,-1.3218087e-08
-5.544158e-06,-1.3216447e-08
-5.5439673e-06,-1.3217508e-08
-5.5437763e-06,-1.3221754e-08
-5.5435858e-06,-1.322541e-08
-5.5433957e-06,-1.32246205e-08
-5.5432047e-06,-1.3220029e-08
-5.5430132e-06,-1.3216253e-08
-5.54282e-06,-1.3214566e-08
-5.5426253e-06,-1.3213704e-08
-5.542429e-06,-1.3214098e-08
-5.542231e-06,-1.3217531e-08
-5.542032e-06,-1.3223069e-08
-5.5418323e-06,-1.32262015e-08
-5.5416313e-06,-1.3223499e-08
-5.541429e-06,-1.321609e-08
-5.541225e-06,-1.3209576e-08
-5.5410196e-06,-1.3209095e-08
-5.5408127e-06,-1.3213665e-08
-5.540604e-06,-1.32173845e-08
-5.540395e-06,-1.3216611e-08
-5.540185e-06,-1.3216119e-08
-5.5399755e-06,-1.3220194e-08
-5.5397663e-06,-1.3224215e-08
-5.5395576e-06,-1.3223937e-08
-5.539349e-06,-1.3221091e-08
-5.53914e-06,-1.3219705e-08
-5.538931e-06,-1.3221131e-08
-5.5387204e-06,-1.3223722e-08
-5.5385094e-06,-1.3225787e-08
-5.538297e-06,-1.3225e-08
-5.5380847e-06,-1.3222358e-08
-5.5378723e-06,-1.3223189e-08
-5.53766e-06,-1.3228438e-08
-5.5374494e-06,-1.3233286e-08
-5.5372407e-06,-1.3234867e-08
-5.5370347e-06,-1.3233817e-08
-5.5368323e-06,-1.3232801e-08
-5.536634e-06,-1.32336115e-08
-5.53644e-06,-1.3235978e-08
-5.53625e-06,-1.32364875e-08
-5.536063e-06,-1.3232673e-08
-5.5358796e-06,-1.3228338e-08
-5.5356986e-06,-1.3226283e-08
-5.5355204e-06,-1.3225472e-08
-5.5353426e-06,-1.3224687e-08
-5.5351657e-06,-1.3223992e-08
-5.5349888e-06,-1.3223966e-08
-5.534811e-06,-1.3223732e-08
-5.5346322e-06,-1.3222214e-08
-5.534452e-06,-1.3219537e-08
-5.5342703e-06,-1.321622e-08
-5.534087e-06,-1.3212805e-08
-5.533901e-06,-1.3212038e-08
-5.5337123e-06,-1.3214317e-08
-5.5335195e-06,-1.3218293e-08
-5.533323e-06,-1.3222829e-08
-5.533122e-06,-1.322597e-08
-5.532917e-06,-1.3226006e-08
-5.532707e-06,-1.3223302e-08
-5.5324936e-06,-1.3219253e-08
-5.5322766e-06,-1.3217908e-08
-5.5320575e-06,-1.3219846e-08
-5.5318374e-06,-1.3221411e-08
-5.5316173e-06,-1.3221831e-08
-5.531398e-06,-1.3222074e-08
-5.53118e-06,-1.3222909e-08
-5.5309633e-06,-1.3224138e-08
-5.5307496e-06,-1.3223532e-08
-5.5305386e-06,-1.32207685e-08
-5.530331e-06,-1.3219565e-08
-5.5301266e-06,-1.322248e-08
-5.5299256e-06,-1.3226464e-08
-5.5297273e-06,-1.3227796e-08
-5.5295313e-06,-1.3225889e-08
-5.5293367e-06,-1.3222213e-08
-5.5291434e-06,-1.3218181e-08
